0122_z10um_100step_sqrt_TW_freq 	 0122_z10um_100step_amp 	 0122_z10um_100step_amp_sigma 	 0122_z10um_100step_theta 	 0122_z10um_100step_theta_sigma 	 0122_z10um_100step_DCV 	 0122_z10um_100step_DCV_sigma 	 0122_z10um_100step_decay_ratio 
2.35143231E+1	4.05783755E-7	3.95217446E-9	-2.19937113E+0	9.79858315E-3	0.00000000E+0	0.00000000E+0	-1.15598357E+1
2.37117491E+1	5.03612320E-7	8.86012040E-9	-2.66107486E+0	1.46021875E-2	0.00000000E+0	0.00000000E+0	-1.13354884E+1
2.39091750E+1	3.66720375E-7	6.97057142E-9	-2.54241259E+0	3.04242126E-3	0.00000000E+0	0.00000000E+0	-1.16444039E+1
2.41066010E+1	4.45419354E-7	4.72076499E-9	-2.37408756E+0	1.00638025E-2	0.00000000E+0	0.00000000E+0	-1.14417639E+1
2.43040269E+1	3.56579953E-7	1.12302710E-8	-2.71813214E+0	4.24902194E-2	0.00000000E+0	0.00000000E+0	-1.16560653E+1
2.45422777E+1	4.10665450E-7	4.57980049E-9	-2.33461647E+0	1.21982345E-3	0.00000000E+0	0.00000000E+0	-1.15050897E+1
2.47397036E+1	4.04299594E-7	1.12483038E-9	-2.49671020E+0	5.73154493E-3	0.00000000E+0	0.00000000E+0	-1.15127003E+1
2.49371296E+1	2.77110904E-7	3.74326240E-10	-2.62182339E+0	8.29874075E-3	0.00000000E+0	0.00000000E+0	-1.18824902E+1
2.51345555E+1	3.76774324E-7	1.86024291E-9	-2.25953687E+0	3.24863117E-3	0.00000000E+0	0.00000000E+0	-1.15673758E+1
2.53319815E+1	1.95712564E-7	1.99928821E-9	-2.74859356E+0	4.84401192E-2	0.00000000E+0	0.00000000E+0	-1.22145511E+1
2.55686306E+1	3.26574983E-7	1.47438810E-8	-2.53355185E+0	1.35679350E-2	0.00000000E+0	0.00000000E+0	-1.16932400E+1
2.57660566E+1	2.99361580E-7	5.34266953E-9	-2.33439237E+0	6.12522280E-3	0.00000000E+0	0.00000000E+0	-1.17725557E+1
2.59634825E+1	1.80518578E-7	5.39323824E-9	2.95672217E+0	6.75009146E-1	0.00000000E+0	0.00000000E+0	-1.22707411E+1
2.61609085E+1	2.85333070E-7	1.12408158E-8	-2.73646957E+0	3.93079177E-3	0.00000000E+0	0.00000000E+0	-1.18053424E+1
2.63583344E+1	2.16293883E-7	2.25236186E-9	-3.12269494E+0	2.41311588E-3	0.00000000E+0	0.00000000E+0	-1.20748433E+1
2.65935568E+1	2.61929830E-7	2.42157219E-10	-2.39642406E+0	3.76093991E-2	0.00000000E+0	0.00000000E+0	-1.18745202E+1
2.67909827E+1	2.39353250E-7	7.95844222E-9	-2.64908029E+0	9.59146008E-3	0.00000000E+0	0.00000000E+0	-1.19572600E+1
2.69884087E+1	2.36734559E-7	3.11526661E-9	-2.50982486E+0	3.39585057E-2	0.00000000E+0	0.00000000E+0	-1.19609189E+1
2.71858346E+1	2.95630818E-7	2.55392624E-9	-3.05411248E+0	1.37734284E-2	0.00000000E+0	0.00000000E+0	-1.17314583E+1
2.74197754E+1	2.66049300E-7	2.47652900E-9	-2.79938994E+0	1.91204672E-2	0.00000000E+0	0.00000000E+0	-1.18283197E+1
2.76172014E+1	1.81672713E-7	7.92339847E-9	-2.51800589E+0	1.11105773E-2	0.00000000E+0	0.00000000E+0	-1.22026202E+1
2.78146273E+1	2.67065357E-7	4.06647174E-9	4.60562172E-1	3.09005731E+0	0.00000000E+0	0.00000000E+0	-1.18102104E+1
2.80120532E+1	1.45420114E-7	1.52906889E-9	-1.87326381E+0	2.50246331E+0	0.00000000E+0	0.00000000E+0	-1.24110041E+1
2.82094792E+1	1.84978668E-7	1.96804922E-9	-2.67272638E+0	4.10906823E-2	0.00000000E+0	0.00000000E+0	-1.21633673E+1


---------------------------------sample information------------------------------------
ÉTÉìÉvÉãñº	0122_z10um_100step
ééóøå˙	5.00000000E+1
îMägéUó¶(à ëä)	9.98481562E-7
îMägéUó¶(êUïù)	3.09334695E-7
ÉqÅ[É^Å[àÛâ¡ìdà≥	3.00000000E+0
êÿï–	-1.79722860E-1
Y position	0.00000000E+0
z = -10um
